corner,vdd,temp,vcont,s0,s1,freq,current
tt,1.8,27.0,1.7,1,0,155000000,0.0001765883569756506087347816305
tt,1.8,27.0,1.7,1,0,155000000,0.0001740726642829179270518237044
ss,1.8,27.0,1.3,1,1,155000000,0.0001388542733800404989875253119
ss,1.8,27.0,1.3,1,1,155000000,0.0001361205820092497687557811055
ss,1.8,27.0,1.7,1,1,167500000,0.0001531331274866628334291642709
ss,1.8,27.0,1.7,1,1,167500000,0.0001503611285316867078323041924
ff,1.8,27.0,1.3,1,0,180000000,0.0002078471805299867503312417190
ff,1.8,27.0,1.7,1,0,195000000,0.0002234285122261443463913402165
ff,1.8,27.0,1.7,1,0,195000000,0.0002235213612114897127571810705
fs,1.8,27.0,1.3,1,1,152500000,0.0001904750633226169345766355841
ff,1.8,27.0,1.3,1,0,182500000,0.0002044315325880102997425064373
fs,1.8,27.0,1.3,1,1,165000000,0.0001924642061960450988725281868
tt,1.8,27.0,1.3,1,1,242500000,0.0001984109343748406289842753931
sf,1.8,27.0,1.3,0,1,180000000,0.0001537754399855003624909377266
sf,1.8,27.0,1.3,1,1,247500000,0.0001685322975164620884477888053
sf,1.8,27.0,1.7,1,1,262500000,0.0001786582832745181370465738357
fs,1.8,27.0,1.7,1,1,175000000,0.0002083812941813204669883252919
sf,1.8,27.0,1.7,1,1,262500000,0.0001776965499487512812179695508
fs,1.8,27.0,1.7,1,1,195000000,0.0002164512295420864478388040299
tt,1.8,27.0,1.3,1,1,255000000,0.0001987929122905177370565735857
tt,1.8,27.0,1.7,1,1,267500000,0.0002110222211454213644658883528
tt,1.8,27.0,1.7,1,1,270000000,0.0002090254499139771505712357191
ss,1.8,27.0,1.4,0,0,105000000,0.0001286294842288942776430589235
ss,1.8,27.0,1.4,0,0,105000000,0.0001276856424853128671783205420
ss,1.8,27.0,1.8,0,0,112500000,0.0001363474801076473088172795680
ss,1.8,27.0,1.8,0,0,112500000,0.0001355438731605459863503412415
fs,1.8,27.0,1.4,0,0,137500000,0.0001815336346675833104172395690
fs,1.8,27.0,1.4,0,0,135000000,0.0001799734132473688157796055099
tt,1.8,27.0,1.4,0,0,135000000,0.0001639872204778880527986800330
sf,1.8,27.0,1.4,0,0,125000000,0.0001441150293680157996050098748
sf,1.8,27.0,1.3,1,0,140000000,0.0001409615821505462363440913977
sf,1.8,27.0,1.8,0,0,130000000,0.0001452634804543136421589460263
ff,1.8,27.0,1.7,1,1,362500000,0.0002776267078899027524311892203
ff,1.8,27.0,1.7,1,1,357500000,0.0002802565962837679058023549411
ff,1.8,27.0,1.3,1,1,350000000,0.0002634599453770405739856503587
fs,1.8,27.0,1.8,0,0,150000000,0.0001951120858036049098772530687
sf,1.8,27.0,1.8,0,0,130000000,0.0001435467358715282117947051324
fs,1.8,27.0,1.8,0,0,150000000,0.0001978505565608859778505537362
ff,1.8,27.0,1.3,1,1,347500000,0.0002579576936208094797630059249
tt,1.8,27.0,1.4,0,0,135000000,0.0001677034217223319417014574636
tt,1.8,27.0,1.8,0,0,142500000,0.0001803900486394340141496462588
tt,1.8,27.0,1.8,0,0,142500000,0.0001733811802922676933076673083
ss,1.8,27.0,1.4,0,1,145000000,0.0001425785429078273043173920652
ss,1.8,27.0,1.4,0,1,142500000,0.0001391807474126146846328841779
ss,1.8,27.0,1.8,0,1,155000000,0.0001463619482051198720031999200
ss,1.8,27.0,1.8,0,1,152500000,0.0001499842295698857528561785955
fs,1.8,27.0,1.4,0,1,187500000,0.0002074104788597285067873303167
fs,1.8,27.0,1.4,0,1,187500000,0.0001958479807210569735756606085
sf,1.8,27.0,1.8,0,1,190000000,0.0001594136736434089147771305717
tt,1.8,27.0,1.4,0,1,200000000,0.0001882906495242618934526636834
