corner,vdd,temp,vcont,freq,current
ss,1.8,27.0,1.8,175000000,0.0001336999034239644008899777506
ss,1.8,27.0,1.8,175000000,0.0001312856048956276093097672558
sf,1.8,27.0,1.4,185000000,0.0001345422587555561110972225694
fs,1.8,27.0,1.4,200000000,0.0001800634008221044473888152796
fs,1.8,27.0,1.8,225000000,0.0001944912330991475213119672008
fs,1.8,27.0,1.4,200000000,0.0001785109301483712907177320567
tt,1.8,27.0,1.8,212500000,0.0001702189232220444488887777806
tt,1.8,27.0,1.8,215000000,0.0001704939017927551811204719882
ff,1.8,27.0,1.4,237500000,0.0001988158041416714582135446614
ff,1.8,27.0,1.8,255000000,0.0002110456294229144271393215170
tt,1.8,27.0,1.4,197500000,0.0001597297779061773455663608410
ff,1.8,27.0,1.4,237500000,0.0001990750467734056648583785405
ff,1.8,27.0,1.8,255000000,0.0002080934182528186795330116747
tt,1.8,27.0,1.4,200000000,0.0001651653385131871703207419815
